UINT8, RPM,Thrust (N), PWM (µs)
0,2976,36.42349162,1100
1,2969,36.20849441,1104
2,2971,36.34194095,1108
3,2933,35.67470825,1112
5,2916,35.00747556,1116
6,2898,34.34024286,1120
7,2874,33.8064567,1124
8,2852,33.3616349,1128
10,2841,33.139224,1132
11,2817,32.51647348,1136
12,2792,31.98268733,1140
14,2773,31.62682989,1144
15,2755,30.95959719,1148
16,2728,30.24788231,1152
17,2714,29.84754269,1156
19,2689,29.49168525,1160
20,2676,28.73548819,1164
21,2654,28.15721986,1168
22,2615,27.89032678,1172
24,2610,27.22309408,1176
25,2576,26.60034356,1180
26,2560,26.02207522,1184
28,2533,25.66621778,1188
29,2510,25.13243163,1192
30,2482,24.59864547,1196
31,2457,24.15382367,1200
33,2443,23.53107315,1204
34,2412,22.86384045,1208
35,2383,22.28557211,1212
36,2365,21.92971467,1216
38,2335,21.35144634,1220
39,2318,20.90662454,1224
40,2284,20.46180274,1228
42,2260,19.92801658,1232
43,2231,19.26078388,1236
44,2208,18.86044426,1240
45,2189,18.68251554,1244
47,2159,18.10424721,1248
48,2140,17.83735413,1252
49,2106,17.34805015,1256
51,2082,16.76978181,1260
52,2057,16.41392437,1264
53,2038,16.01358475,1268
54,2006,15.34635205,1272
56,1982,14.99049462,1276
57,1955,14.54567282,1280
58,1925,14.05636884,1284
59,1898,13.74499358,1288
61,1869,13.2556896,1292
62,1846,12.85534998,1296
63,1815,12.54397472,1300
65,1788,12.09915292,1304
66,1763,11.74329549,1308
67,1737,11.38743805,1312
68,1708,11.16502715,1316
70,1681,10.63124099,1320
71,1651,10.18641919,1324
72,1620,9.830561751,1328
73,1588,9.474704312,1332
75,1557,9.118846873,1336
76,1529,8.762989434,1340
77,1504,8.407131995,1344
79,1470,8.140238916,1348
80,1439,7.739899297,1352
81,1411,7.428524038,1356
82,1375,6.983702239,1360
84,1338,6.71680916,1364
85,1309,6.405433901,1368
86,1276,6.138540822,1372
87,1246,5.782683383,1376
89,1211,5.382343764,1380
90,1169,5.070968505,1384
91,1134,4.804075426,1388
93,1099,4.492700167,1392
94,1057,4.181324908,1396
95,1023,3.869949649,1400
96,986,3.603056569,1404
98,944,3.24719913,1408
99,903,3.024788231,1412
100,865,2.713412972,1416
102,820,2.491002073,1420
103,777,2.179626814,1424
104,737,1.957215914,1428
105,690,1.734805015,1432
107,643,1.512394116,1436
108,597,1.289983216,1440
109,549,1.112054497,1444
110,499,0.9341257772,1448
112,448,0.7117148779,1452
113,400,0.5337861584,1456
114,346,0.4003396188,1460
116,0,0,1464
117,0,0,1468
118,0,0,1472
119,0,0,1476
121,0,0,1480
122,0,0,1484
123,0,0,1488
124,0,0,1492
126,0,0,1496
127,0,0,1500
128,0,0,1504
130,0,0,1508
131,0,0,1512
132,0,0,1516
133,0,0,1520
135,0,0,1524
136,0,0,1528
137,0,0,1532
138,0,0,1536
140,342,-0.3558574389,1540
141,395,-0.4448217987,1544
142,444,-0.5782683383,1548
144,494,-0.7117148779,1552
145,542,-0.8896435974,1556
146,592,-1.067572317,1560
147,634,-1.201018856,1564
149,680,-1.423429756,1568
150,726,-1.601358475,1572
151,768,-1.734805015,1576
153,812,-2.001698094,1580
154,851,-2.224108993,1584
155,892,-2.402037713,1588
156,931,-2.624448612,1592
158,971,-2.891341691,1596
159,1009,-3.113752591,1600
160,1044,-3.33616349,1604
161,1084,-3.603056569,1608
163,1121,-3.825467469,1612
164,1152,-4.092360548,1616
165,1186,-4.314771447,1620
167,1227,-4.626146706,1624
168,1263,-4.848557606,1628
169,1291,-5.070968505,1632
170,1322,-5.337861584,1636
172,1354,-5.604754663,1640
173,1385,-5.916129922,1644
174,1424,-6.271987361,1648
175,1453,-6.449916081,1652
177,1485,-6.80577352,1656
178,1515,-7.072666599,1660
179,1539,-7.250595318,1664
181,1567,-7.561970578,1668
182,1599,-7.784381477,1672
183,1632,-8.184721096,1676
184,1653,-8.540578535,1680
186,1686,-8.851953794,1684
187,1716,-9.118846873,1688
188,1741,-9.430222132,1692
189,1769,-9.741597391,1696
191,1796,-10.00849047,1700
192,1824,-10.23090137,1704
193,1854,-10.63124099,1708
195,1880,-10.94261625,1712
196,1911,-11.29847369,1716
197,1931,-11.69881331,1720
198,1964,-11.96570638,1724
200,1996,-12.54397472,1728
201,2017,-12.67742126,1732
202,2046,-13.07776088,1736
204,2070,-13.43361832,1740
205,2083,-13.7005114,1744
206,2118,-14.10085102,1748
207,2143,-14.41222628,1752
209,2169,-14.63463718,1756
210,2190,-15.0349768,1760
211,2229,-15.30186987,1764
212,2244,-15.79117385,1768
214,2269,-16.19151347,1772
215,2304,-16.32496001,1776
216,2330,-16.99219271,1780
218,2345,-17.43701451,1784
219,2391,-17.70390759,1788
220,2411,-18.10424721,1792
221,2432,-18.46010465,1796
223,2456,-19.08285516,1800
224,2482,-19.4387126,1804
225,2508,-19.70560568,1808
226,2535,-20.28387402,1812
228,2562,-20.5507671,1816
229,2585,-20.9955889,1820
230,2613,-21.39592852,1824
232,2620,-21.84075032,1828
233,2661,-22.10764339,1832
234,2681,-22.59694737,1836
235,2698,-22.95280481,1840
237,2721,-23.39762661,1844
238,2751,-23.84244841,1848
239,2773,-23.93141277,1852
240,2782,-24.46519893,1856
242,2808,-25.13243163,1860
243,2835,-25.44380688,1864
244,2859,-25.48828906,1868
246,2879,-26.20000394,1872
247,2904,-26.68930792,1876
248,2923,-27.08964754,1880
249,2937,-27.31205844,1884
251,2962,-27.75688024,1888
252,2976,-28.37963076,1892
253,2994,-28.60204166,1896
255,2995,-28.47600881,1900
