UINT8, RPM,Thrust (N), PWM (µs)
0,2662,28.69100601,1100
1,2667,28.60204166,1104
2,2661,28.37963076,1108
3,2627,28.20170204,1112
5,2617,27.66791588,1116
6,2600,27.1786119,1120
7,2590,26.82275446,1124
8,2562,26.33345048,1128
10,2535,25.97759304,1132
11,2528,25.66621778,1136
12,2514,25.31036034,1140
14,2484,25.04346727,1144
15,2472,24.33175239,1148
16,2449,24.06485931,1152
17,2436,23.62003751,1156
19,2416,23.17521571,1160
20,2395,22.59694737,1164
21,2371,22.28557211,1168
22,2344,21.70730378,1172
24,2332,21.26248198,1176
25,2306,20.81766018,1180
26,2283,20.50628492,1184
28,2271,20.19490966,1188
29,2241,19.57215914,1192
30,2219,19.52767696,1196
31,2198,18.7714799,1200
33,2177,18.41562247,1204
34,2157,18.10424721,1208
35,2129,17.65942541,1212
36,2106,17.39253233,1216
38,2094,16.94771053,1220
39,2073,16.59185309,1224
40,2046,16.23599565,1228
42,2024,15.92462039,1232
43,2005,15.47979859,1236
44,1982,15.16842333,1240
45,1957,14.94601244,1244
47,1936,14.50119064,1248
48,1907,14.01188666,1252
49,1885,13.83395794,1256
51,1864,13.30017178,1260
52,1834,12.85534998,1264
53,1816,12.49949254,1268
54,1789,12.1436351,1272
56,1762,11.83225984,1276
57,1745,11.60984895,1280
58,1717,11.43192023,1284
59,1697,10.89813407,1288
61,1671,10.54227663,1292
62,1643,10.27538355,1296
63,1615,9.519186492,1300
65,1591,9.563668672,1304
66,1562,9.296775592,1308
67,1539,9.029882513,1312
68,1516,8.718507254,1316
70,1488,8.362649815,1320
71,1461,8.095756736,1324
72,1440,7.828863657,1328
73,1411,7.473006218,1332
75,1382,7.117148779,1336
76,1347,6.89473788,1340
77,1320,6.71680916,1344
79,1294,6.271987361,1348
80,1265,5.960612102,1352
81,1239,5.693719023,1356
82,1200,5.382343764,1360
84,1174,5.115450685,1364
85,1142,4.848557606,1368
86,1114,4.581664526,1372
87,1080,4.359253627,1376
89,1048,4.047878368,1380
90,1016,3.780985289,1384
91,986,3.558574389,1388
93,948,3.29168131,1392
94,916,3.069270411,1396
95,883,2.846859512,1400
96,845,2.579966432,1404
98,813,2.402037713,1408
99,774,2.179626814,1412
100,740,2.001698094,1416
102,701,1.779287195,1420
103,664,1.601358475,1424
104,624,1.423429756,1428
105,584,1.245501036,1432
107,545,1.067572317,1436
108,504,0.8896435974,1440
109,462,0.7561970578,1444
110,421,0.667232698,1448
112,377,0.5337861584,1452
113,335,0.4003396188,1456
114,0,0,1460
116,0,0,1464
117,0,0,1468
118,0,0,1472
119,0,0,1476
121,0,0,1480
122,0,0,1484
123,0,0,1488
124,0,0,1492
126,0,0,1496
127,0,0,1500
128,0,0,1504
130,0,0,1508
131,0,0,1512
132,0,0,1516
133,0,0,1520
135,0,0,1524
136,0,0,1528
137,0,0,1532
138,0,0,1536
140,0,0,1540
141,332,-0.3113752591,1544
142,373,-0.4448217987,1548
144,417,-0.5337861584,1552
145,459,-0.6227505182,1556
146,500,-0.7117148779,1560
147,540,-0.8451614175,1564
149,582,-0.9786079571,1568
150,621,-1.156536677,1572
151,657,-1.334465396,1576
153,695,-1.512394116,1580
154,733,-1.601358475,1584
155,766,-1.779287195,1588
156,805,-1.957215914,1592
158,836,-2.090662454,1596
159,873,-2.313073353,1600
160,906,-2.446519893,1604
161,938,-2.713412972,1608
163,974,-2.891341691,1612
164,1007,-3.069270411,1616
165,1035,-3.29168131,1620
167,1066,-3.46961003,1624
168,1101,-3.736503109,1628
169,1129,-3.914431828,1632
170,1159,-4.136842728,1636
172,1188,-4.359253627,1640
173,1219,-4.581664526,1644
174,1250,-4.759593246,1648
175,1278,-5.026486325,1652
177,1303,-5.204415045,1656
178,1330,-5.426825944,1660
179,1363,-5.693719023,1664
181,1392,-6.005094282,1668
182,1418,-6.183023002,1672
183,1445,-6.405433901,1676
184,1473,-6.58336262,1680
186,1496,-6.8502557,1684
187,1519,-7.072666599,1688
188,1542,-7.384041858,1692
189,1571,-7.650934937,1696
191,1596,-7.828863657,1700
192,1622,-8.095756736,1704
193,1650,-8.362649815,1708
195,1674,-8.629542894,1712
196,1696,-8.896435974,1716
197,1720,-9.118846873,1720
198,1747,-9.519186492,1724
200,1765,-9.697115211,1728
201,1793,-9.96400829,1732
202,1819,-10.36434791,1736
204,1833,-10.54227663,1740
205,1860,-10.76468753,1744
206,1889,-11.16502715,1748
207,1911,-11.43192023,1752
209,1933,-11.65433113,1756
210,1962,-11.96570638,1760
211,1984,-12.32156382,1764
212,2004,-12.63293908,1768
214,2027,-12.94431434,1772
215,2052,-13.0332787,1776
216,2075,-13.34465396,1780
218,2093,-13.83395794,1784
219,2118,-14.1453332,1788
220,2140,-14.41222628,1792
221,2160,-14.72360154,1796
223,2179,-15.07945898,1800
224,2200,-15.25738769,1804
225,2225,-15.61324513,1808
226,2245,-15.88013821,1812
228,2273,-16.19151347,1816
229,2293,-16.50288873,1820
230,2307,-16.81426399,1824
232,2333,-17.21460361,1828
233,2353,-17.57046105,1832
234,2378,-17.74838977,1836
235,2398,-18.01528285,1840
237,2410,-18.549069,1844
238,2436,-18.90492644,1848
239,2453,-19.17181952,1852
240,2481,-19.48319478,1856
242,2499,-20.01698094,1860
243,2522,-20.15042748,1864
244,2543,-20.68421364,1868
246,2558,-20.90662454,1872
247,2575,-21.2179998,1876
248,2602,-21.39592852,1880
249,2613,-21.79626814,1884
251,2633,-22.37453647,1888
252,2657,-22.50798301,1892
253,2665,-22.59694737,1896
255,2668,-22.64884325,1900
