UINT8, RPM,Thrust (N), PWM (µs)
0,3783,65.92259056,1100
1,3777,64.94398261,1104
2,3740,64.27674991,1108
3,3741,63.34262413,1112
5,3712,62.40849835,1116
6,3681,61.34092604,1120
7,3639,60.095425,1124
8,3642,59.4281923,1128
10,3624,58.13820909,1132
11,3569,57.02615459,1136
12,3558,56.00306445,1140
14,3571,55.11342086,1144
15,3498,54.1348129,1148
16,3449,52.88931186,1152
17,3457,51.02106031,1156
19,3390,50.44279197,1160
20,3385,49.24177311,1164
21,3335,48.35212952,1168
22,3315,47.2845572,1172
24,3293,46.08353834,1176
25,3250,44.66010859,1180
26,3211,43.37012537,1184
28,3184,42.43599959,1188
29,3139,41.27946292,1192
30,3107,40.2118906,1196
31,3046,38.8774252,1200
33,3034,37.72088853,1204
34,2983,36.51986967,1208
35,2952,35.71919043,1212
36,2927,34.78506466,1216
38,2891,33.76197452,1220
39,2856,32.9168131,1224
40,2824,32.16061604,1228
42,2797,31.58234771,1232
43,2766,30.73718629,1236
44,2731,29.98098923,1240
45,2698,29.35823871,1244
47,2679,28.5130773,1248
48,2636,27.71239806,1252
49,2623,27.08964754,1256
51,2579,26.11103958,1260
52,2554,25.57725342,1264
53,2523,24.73209201,1268
54,2487,23.88693059,1272
56,2453,22.81935827,1276
57,2414,22.06316121,1280
58,2367,21.57385724,1284
59,2346,20.773178,1288
61,2300,20.28387402,1292
62,2265,19.4387126,1296
63,2229,18.81596208,1300
65,2192,18.10424721,1304
66,2166,17.65942541,1308
67,2135,17.03667489,1312
68,2093,16.10254911,1316
70,2050,15.52428077,1320
71,2009,14.99049462,1324
72,1972,14.10085102,1328
73,1927,13.52258268,1332
75,1895,12.85534998,1336
76,1853,12.54397472,1340
77,1816,11.96570638,1344
79,1779,11.47640241,1348
80,1748,10.98709843,1352
81,1718,10.40883009,1356
82,1676,10.00849047,1360
84,1643,9.563668672,1364
85,1597,9.163329053,1368
86,1560,8.718507254,1372
87,1526,8.451614175,1376
89,1493,8.006792376,1380
90,1461,7.650934937,1384
91,1426,7.250595318,1388
93,1388,6.8502557,1392
94,1349,6.494398261,1396
95,1315,6.271987361,1400
96,1277,5.960612102,1404
98,1246,5.604754663,1408
99,1201,5.248897224,1412
100,1159,4.893039785,1416
102,1120,4.581664526,1420
103,1077,4.181324908,1424
104,1024,3.825467469,1428
105,982,3.558574389,1432
107,925,3.158234771,1436
108,876,2.802377332,1440
109,813,2.446519893,1444
110,752,2.090662454,1448
112,688,1.779287195,1452
113,624,1.467911936,1456
114,547,1.112054497,1460
116,471,0.8451614175,1464
117,389,0.5782683383,1468
118,310,0,1472
119,0,0,1476
121,0,0,1480
122,0,0,1484
123,0,0,1488
124,0,0,1492
126,0,0,1496
127,0,0,1500
128,0,0,1504
130,0,0,1508
131,0,0,1512
132,0,0,1516
133,0,0,1520
135,0,0,1524
136,0,-0.3558574389,1528
137,379,-0.5337861584,1532
138,457,-0.7117148779,1536
140,532,-0.8896435974,1540
141,605,-1.201018856,1544
142,676,-1.423429756,1548
144,735,-1.690322835,1552
145,797,-2.001698094,1556
146,857,-2.313073353,1560
147,905,-2.579966432,1564
149,963,-2.891341691,1568
150,1001,-3.158234771,1572
151,1046,-3.51409221,1576
153,1092,-3.780985289,1580
154,1129,-4.047878368,1584
155,1162,-4.359253627,1588
156,1207,-4.626146706,1592
158,1240,-4.937521965,1596
159,1273,-5.204415045,1600
160,1305,-5.471308124,1604
161,1334,-5.782683383,1608
163,1367,-6.183023002,1612
164,1407,-6.449916081,1616
165,1441,-6.76129134,1620
167,1472,-7.028184419,1624
168,1506,-7.384041858,1628
169,1537,-7.650934937,1632
170,1571,-8.140238916,1636
172,1603,-8.585060715,1640
173,1644,-8.896435974,1644
174,1685,-9.252293413,1648
175,1720,-9.697115211,1652
177,1751,-10.00849047,1656
178,1797,-10.45331227,1660
179,1832,-10.85365189,1664
181,1868,-11.47640241,1668
182,1911,-11.96570638,1672
183,1950,-12.45501036,1676
184,1991,-12.98879652,1680
186,2040,-13.4781005,1684
187,2072,-13.83395794,1688
188,2110,-14.45670846,1692
189,2145,-14.90153026,1696
191,2186,-15.52428077,1700
192,2218,-16.05806693,1704
193,2242,-16.41392437,1708
195,2292,-16.94771053,1712
196,2321,-17.61494323,1716
197,2371,-18.19321157,1720
198,2419,-18.7714799,1724
200,2452,-19.30526606,1728
201,2493,-20.01698094,1732
202,2520,-20.68421364,1736
204,2552,-20.9955889,1740
205,2593,-21.57385724,1744
206,2621,-22.19660775,1748
207,2654,-22.68591173,1752
209,2696,-23.57555533,1756
210,2723,-23.88693059,1760
211,2752,-24.50968111,1764
212,2788,-24.95450291,1768
214,2820,-25.53277124,1772
215,2861,-26.20000394,1776
216,2887,-26.82275446,1780
218,2928,-27.22309408,1784
219,2968,-28.15721986,1788
220,3013,-28.86893473,1792
221,3039,-29.44720307,1796
223,3088,-30.64822193,1800
224,3122,-31.00407937,1804
225,3182,-32.2495804,1808
226,3221,-32.9168131,1812
228,3268,-34.11783196,1816
229,3304,-34.87402902,1820
230,3341,-35.89711915,1824
232,3380,-36.38642313,1828
233,3418,-37.36503109,1832
234,3453,-38.12122815,1836
235,3481,-38.78846084,1840
237,3519,-39.41121136,1844
238,3561,-40.38981932,1848
239,3593,-40.79015894,1852
240,3614,-41.45739164,1856
242,3660,-42.65841049,1860
243,3684,-43.19219665,1864
244,3721,-43.77046499,1868
246,3732,-44.88251949,1872
247,3778,-45.895122,1876
248,3801,-46.52836014,1880
249,3837,-47.01766412,1884
251,3855,-47.5069681,1888
252,3877,-48.26316516,1892
253,3907,-48.6190226,1896
255,3931,-49.38263335,1900
