UINT8, RPM,Thrust (N), PWM (µs)
0,3233,44.36356072,1100
1,3244,44.39321551,1104
2,3206,44.21528679,1108
3,3202,43.37012537,1112
5,3174,42.96978575,1116
6,3160,42.21358869,1120
7,3143,41.3239451,1124
8,3121,40.74567676,1128
10,3107,40.30085496,1132
11,3071,39.50017572,1136
12,3049,39.05535392,1140
14,3025,38.47708559,1144
15,3004,37.63192417,1148
16,2979,36.96469147,1152
17,2954,36.16401223,1156
19,2937,35.54126171,1160
20,2914,34.96299338,1164
21,2883,34.2512785,1168
22,2861,33.53956362,1172
24,2847,32.96129528,1176
25,2815,32.60543784,1180
26,2802,31.71579425,1184
28,2776,31.27097245,1188
29,2740,30.69270411,1192
30,2705,29.89202487,1196
31,2697,29.35823871,1200
33,2659,28.77997037,1204
34,2658,28.24618422,1208
35,2619,27.26757626,1212
36,2598,27.04516536,1216
38,2566,26.0665574,1220
39,2543,25.8441465,1224
40,2504,25.13243163,1228
42,2482,24.55416329,1232
43,2452,23.79796623,1236
44,2418,22.95280481,1240
45,2405,22.24108993,1244
47,2366,22.01867903,1248
48,2331,21.17351762,1252
49,2302,20.773178,1256
51,2271,20.46180274,1260
52,2246,19.6611235,1264
53,2221,19.26078388,1268
54,2194,18.72699772,1272
56,2171,18.14872939,1276
57,2139,17.79287195,1280
58,2116,17.25908579,1284
59,2081,16.76978181,1288
61,2056,16.19151347,1292
62,2023,15.74669167,1296
63,1995,15.21290551,1300
65,1959,14.8125659,1304
66,1930,14.32326192,1308
67,1896,13.78947576,1312
68,1873,13.38913614,1316
70,1838,12.98879652,1320
71,1813,12.54397472,1324
72,1785,12.09915292,1328
73,1754,11.78777767,1332
75,1724,11.20950933,1336
76,1689,10.72020535,1340
77,1659,10.31986573,1344
79,1625,9.786079571,1348
80,1590,9.474704312,1352
81,1552,9.029882513,1356
82,1523,8.718507254,1360
84,1487,8.318167635,1364
85,1455,8.095756736,1368
86,1421,7.517488398,1372
87,1375,7.117148779,1376
89,1341,6.76129134,1380
90,1307,6.316469541,1384
91,1268,6.094058642,1388
93,1233,5.649236843,1392
94,1188,5.204415045,1396
95,1150,4.893039785,1400
96,1106,4.537182347,1404
98,1064,4.181324908,1408
99,1018,3.869949649,1412
100,974,3.558574389,1416
102,929,3.20271695,1420
103,886,2.846859512,1424
104,834,2.579966432,1428
105,786,2.224108993,1432
107,735,1.957215914,1436
108,683,1.734805015,1440
109,628,1.423429756,1444
110,575,1.201018856,1448
112,518,0.9786079571,1452
113,463,0.8006792376,1456
114,400,0.6227505182,1460
116,342,0.4448217987,1464
117,0,0,1468
118,0,0,1472
119,0,0,1476
121,0,0,1480
122,0,0,1484
123,0,0,1488
124,0,0,1492
126,0,0,1496
127,0,0,1500
128,0,0,1504
130,0,0,1508
131,0,0,1512
132,0,0,1516
133,0,0,1520
135,0,0,1524
136,0,0,1528
137,0,0,1532
138,344,-0.3113752591,1536
140,399,-0.4448217987,1540
141,461,-0.667232698,1544
142,515,-0.8006792376,1548
144,573,-0.9786079571,1552
145,626,-1.201018856,1556
146,675,-1.423429756,1560
147,731,-1.601358475,1564
149,777,-1.823769375,1568
150,824,-2.046180274,1572
151,876,-2.313073353,1576
153,917,-2.535484252,1580
154,967,-2.802377332,1584
155,1007,-3.113752591,1588
156,1048,-3.42512785,1592
158,1092,-3.647538749,1596
159,1136,-3.914431828,1600
160,1169,-4.181324908,1604
161,1214,-4.537182347,1608
163,1252,-4.804075426,1612
164,1287,-5.070968505,1616
165,1322,-5.382343764,1620
167,1354,-5.738201203,1624
168,1397,-6.094058642,1628
169,1432,-6.360951721,1632
170,1470,-6.67232698,1636
172,1499,-6.89473788,1640
173,1532,-7.250595318,1644
174,1562,-7.517488398,1648
175,1597,-7.917828017,1652
177,1628,-8.318167635,1656
178,1669,-8.674025074,1660
179,1700,-8.985400333,1664
181,1731,-9.341257772,1668
182,1761,-9.652633031,1672
183,1793,-9.96400829,1676
184,1817,-10.31986573,1680
186,1849,-10.67572317,1684
187,1878,-11.03158061,1688
188,1912,-11.43192023,1692
189,1934,-11.69881331,1696
191,1967,-12.1436351,1700
192,1999,-12.5884569,1704
193,2032,-12.98879652,1708
195,2064,-13.43361832,1712
196,2085,-13.74499358,1716
197,2114,-14.1453332,1720
198,2145,-14.50119064,1724
200,2175,-14.90153026,1728
201,2201,-15.34635205,1732
202,2228,-15.47979859,1736
204,2245,-16.01358475,1740
205,2285,-16.50288873,1744
206,2312,-16.85874617,1748
207,2337,-17.30356797,1752
209,2375,-17.83735413,1756
210,2411,-18.549069,1760
211,2437,-18.72699772,1764
212,2464,-19.48319478,1768
214,2498,-19.8835344,1772
215,2539,-20.15042748,1776
216,2583,-20.773178,1780
218,2592,-21.35144634,1784
219,2617,-21.61833942,1788
220,2652,-22.15212557,1792
221,2659,-22.90832263,1796
223,2693,-23.04176917,1800
