UINT8, RPM,Thrust (N), PWM (µs)
224,2714,-23.62003751,1804
225,2751,-24.06485931,1808
226,2773,-24.42071675,1812
228,2795,-24.77657419,1816
229,2815,-25.44380688,1820
230,2855,-25.93311086,1824
232,2878,-26.37793266,1828
233,2901,-27.08964754,1832
234,2926,-27.26757626,1836
235,2957,-27.93480896,1840
237,2984,-28.2906664,1844
238,3011,-28.82445255,1848
239,3035,-29.44720307,1852
240,3048,-29.98098923,1856
242,3087,-30.38132885,1860
243,3114,-30.78166847,1864
244,3139,-31.27097245,1868
246,3159,-31.84924079,1872
247,3183,-32.29406258,1876
248,3195,-32.9168131,1880
249,3218,-33.3616349,1884
251,3243,-33.85093888,1888
252,3263,-34.2512785,1892
253,3288,-34.29576068,1896
255,3279,-34.48851679,1900
